File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's	Naive
1.#INF	26.1111	1.#INF	47
1.#INF	26.2222	1.#INF	47.2
1.#INF	26.3333	1.#INF	47.4
1.#INF	26.4444	1.#INF	47.6
1.#INF	26.5556	1.#INF	47.8
1.#INF	26.6667	1.#INF	48
1.#INF	26.7778	1.#INF	48.2
1.#INF	26.8889	1.#INF	48.4
1.#INF	27	1.#INF	48.6
1.#INF	27.1111	1.#INF	48.8
1.#INF	27.2222	1.#INF	49
1.#INF	27.3333	1.#INF	49.2
1.#INF	27.4444	1.#INF	49.4
1.#INF	27.5556	1.#INF	49.6
1.#INF	27.6667	1.#INF	49.8
1.#INF	27.7778	1.#INF	50
1.#INF	27.8889	1.#INF	50.2
1.#INF	28	1.#INF	50.4
1.#INF	28.1111	1.#INF	50.6
1.#INF	28.2222	1.#INF	50.8
1.#INF	28.3333	1.#INF	51
1.#INF	28.4444	1.#INF	51.2
1.#INF	28.5556	1.#INF	51.4
1.#INF	28.6667	1.#INF	51.6
1.#INF	28.7778	1.#INF	51.8
1.#INF	28.8889	1.#INF	52
1.#INF	29	1.#INF	52.2
1.#INF	29.1111	1.#INF	52.4
1.#INF	29.2222	1.#INF	52.6
1.#INF	29.3333	1.#INF	52.8
1.#INF	29.4444	1.#INF	53
1.#INF	29.5556	1.#INF	53.2
1.#INF	29.6667	1.#INF	53.4
1.#INF	29.7778	1.#INF	53.6
1.#INF	29.8889	1.#INF	53.8
1.#INF	30	1.#INF	54
1.#INF	30.1111	1.#INF	54.2
1.#INF	30.2222	1.#INF	54.4
1.#INF	30.3333	1.#INF	54.6
1.#INF	30.4444	1.#INF	54.8
1.#INF	30.5556	1.#INF	55
1.#INF	30.6667	1.#INF	55.2
1.#INF	30.7778	1.#INF	55.4
1.#INF	30.8889	1.#INF	55.6
1.#INF	31	1.#INF	55.8
1.#INF	31.1111	1.#INF	56
1.#INF	31.2222	1.#INF	56.2
1.#INF	31.3333	1.#INF	56.4
1.#INF	31.4444	1.#INF	56.6
1.#INF	31.5556	1.#INF	56.8
1.#INF	31.6667	1.#INF	57
1.#INF	31.7778	1.#INF	57.2
1.#INF	31.8889	1.#INF	57.4
1.#INF	32	1.#INF	57.6
1.#INF	32.1111	1.#INF	57.8
1.#INF	32.2222	1.#INF	58
1.#INF	32.3333	1.#INF	58.2
1.#INF	32.4444	1.#INF	58.4
1.#INF	32.5556	1.#INF	58.6
1.#INF	32.6667	1.#INF	58.8
1.#INF	32.7778	1.#INF	59
1.#INF	32.8889	1.#INF	59.2
1.#INF	33	1.#INF	59.4
1.#INF	33.1111	1.#INF	59.6
1.#INF	33.2222	1.#INF	59.8
1.#INF	33.3333	1.#INF	60
1.#INF	33.4444	1.#INF	60.2
1.#INF	33.5556	1.#INF	60.4
1.#INF	33.6667	1.#INF	60.6
1.#INF	33.7778	1.#INF	60.8
1.#INF	33.8889	1.#INF	61
1.#INF	34	1.#INF	61.2
1.#INF	34.1111	1.#INF	61.4
1.#INF	34.2222	1.#INF	61.6
1.#INF	34.3333	1.#INF	61.8
1.#INF	34.4444	1.#INF	62
1.#INF	34.5556	1.#INF	62.2
1.#INF	31.2	1.#INF	62.4
1.#INF	31.3	1.#INF	62.6
1.#INF	31.4	1.#INF	62.8
1.#INF	31.5	1.#INF	63
1.#INF	31.6	1.#INF	63.2
1.#INF	31.7	1.#INF	63.4
1.#INF	31.8	1.#INF	63.6
1.#INF	31.9	1.#INF	63.8
1.#INF	32	1.#INF	64
1.#INF	32.1	1.#INF	64.2
1.#INF	32.2	1.#INF	64.4
1.#INF	32.3	1.#INF	64.6
1.#INF	32.4	1.#INF	64.8
1.#INF	32.5	1.#INF	65
1.#INF	32.6	1.#INF	65.2
1.#INF	32.7	1.#INF	65.4
1.#INF	32.8	1.#INF	65.6
1.#INF	32.9	1.#INF	65.8
1.#INF	33	1.#INF	66
1.#INF	33.1	1.#INF	66.2
1.#INF	33.2	1.#INF	66.4
1.#INF	33.3	1.#INF	66.6
1.#INF	33.4	1.#INF	66.8
1.#INF	33.5	1.#INF	67
1.#INF	33.6	1.#INF	67.2
1.#INF	33.7	1.#INF	67.4
1.#INF	33.8	1.#INF	67.6
1.#INF	33.9	1.#INF	67.8
1.#INF	34	1.#INF	68
1.#INF	34.1	1.#INF	68.2
1.#INF	34.2	1.#INF	68.4
1.#INF	34.3	1.#INF	68.6
1.#INF	34.4	1.#INF	68.8
1.#INF	34.5	1.#INF	69
1.#INF	34.6	1.#INF	69.2
1.#INF	34.7	1.#INF	69.4
1.#INF	34.8	1.#INF	69.6
1.#INF	34.9	1.#INF	69.8
1.#INF	35	1.#INF	70
1.#INF	35.1	1.#INF	70.2
1.#INF	35.2	1.#INF	70.4
1.#INF	35.3	1.#INF	70.6
1.#INF	35.4	1.#INF	70.8
1.#INF	35.5	1.#INF	71
1.#INF	35.6	1.#INF	71.2
1.#INF	35.7	1.#INF	71.4
1.#INF	35.8	1.#INF	71.6
1.#INF	35.9	1.#INF	71.8
1.#INF	36	1.#INF	72
1.#INF	36.1	1.#INF	72.2
1.#INF	36.2	1.#INF	72.4
1.#INF	36.3	1.#INF	72.6
1.#INF	33.0909	1.#INF	72.8
1.#INF	33.1818	1.#INF	73
1.#INF	33.2727	1.#INF	73.2
1.#INF	33.3636	1.#INF	73.4
1.#INF	33.4545	1.#INF	73.6
1.#INF	33.5455	1.#INF	73.8
1.#INF	33.6364	1.#INF	74
1.#INF	33.7273	1.#INF	74.2
1.#INF	33.8182	1.#INF	74.4
1.#INF	33.9091	1.#INF	74.6
1.#INF	34	1.#INF	74.8
1.#INF	34.0909	1.#INF	75
1.#INF	34.1818	1.#INF	75.2
1.#INF	34.2727	1.#INF	75.4
1.#INF	34.3636	1.#INF	75.6
1.#INF	34.4545	1.#INF	75.8
1.#INF	34.5455	1.#INF	76
1.#INF	34.6364	1.#INF	76.2
1.#INF	34.7273	1.#INF	76.4
1.#INF	34.8182	1.#INF	76.6
1.#INF	34.9091	1.#INF	76.8
1.#INF	35	1.#INF	77
1.#INF	35.0909	1.#INF	77.2
1.#INF	35.1818	1.#INF	77.4
1.#INF	32.3333	1.#INF	77.6
1.#INF	32.4167	1.#INF	77.8
1.#INF	32.5	1.#INF	78
1.#INF	32.5833	1.#INF	78.2
1.#INF	32.6667	1.#INF	78.4
1.#INF	32.75	1.#INF	78.6
1.#INF	32.8333	1.#INF	78.8
1.#INF	32.9167	1.#INF	79
