File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
41.2222	15.4583	185.5
41.2778	15.1633	185.75
41.3333	15.1837	186
41.3889	15.2041	186.25
41.4444	15.2245	186.5
41.5	15.2449	186.75
41.5556	15.2653	187
41.6111	15.2857	187.25
41.6667	15.3061	187.5
41.7222	15.3265	187.75
41.7778	15.3469	188
41.8333	15.3673	188.25
41.8889	15.3878	188.5
41.9444	15.4082	188.75
42	15.4286	189
42.0556	15.449	189.25
42.1111	15.4694	189.5
42.1667	15.4898	189.75
42.2222	15.5102	190
42.2778	15.22	190.25
42.3333	15.24	190.5
42.3889	15.26	190.75
42.4444	15.28	191
42.5	15	191.25
42.5556	15.0196	191.5
42.6111	15.0392	191.75
42.6667	15.0588	192
42.7222	15.0784	192.25
42.7778	15.098	192.5
42.8333	15.1176	192.75
42.8889	15.1373	193
42.9444	15.1569	193.25
43	15.1765	193.5
43.0556	15.1961	193.75
43.1111	14.9231	194
43.1667	14.9423	194.25
43.2222	14.9615	194.5
43.2778	14.9808	194.75
43.3333	15	195
43.3889	15.0192	195.25
41.1579	15.0385	195.5
41.2105	15.0577	195.75
41.2632	15.0769	196
41.3158	15.0962	196.25
41.3684	15.1154	157.2
41.4211	15.1346	157.4
41.4737	15.1538	157.6
41.5263	15.1731	157.8
41.5789	15.1923	158
41.6316	15.2115	158.2
41.6842	15.2308	158.4
41.7368	15.25	158.6
41.7895	15.2692	158.8
41.8421	15.2885	159
41.8947	15.3077	159.2
41.9474	15.0377	159.4
42	15.0566	159.6
42.0526	15.0755	159.8
42.1053	15.0943	160
42.1579	15.1132	160.2
42.2105	15.1321	160.4
42.2632	15.1509	160.6
42.3158	15.1698	160.8
42.3684	15.1887	161
42.4211	15.2075	161.2
42.4737	15.2264	161.4
42.5263	15.2453	161.6
42.5789	15.2642	161.8
42.6316	15.283	162
42.6842	15.3019	162.2
42.7368	15.3208	162.4
42.7895	15.3396	162.6
42.8421	15.3585	162.8
42.8947	15.3774	163
42.9474	15.3962	163.2
43	15.4151	163.4
43.0526	15.434	163.6
43.1053	15.4528	163.8
43.1579	15.4717	164
43.2105	15.4906	164.2
43.2632	15.5094	164.4
43.3158	15.5283	164.6
43.3684	15.5472	164.8
43.4211	15.566	165
43.4737	15.5849	165.2
43.5263	15.6038	165.4
43.5789	15.3333	165.6
43.6316	15.3519	165.8
43.6842	15.0909	166
41.55	15.1091	166.2
41.6	15.1273	166.4
41.65	15.1455	166.6
41.7	15.1636	166.8
41.75	15.1818	167
41.8	15.2	167.2
41.85	15.2182	167.4
41.9	15.2364	167.6
41.95	15.2545	167.8
42	15.2727	168
40.0476	15.2909	168.2
40.0952	15.3091	168.4
40.1429	15.3273	168.6
40.1905	15.3455	168.8
40.2381	15.3636	169
40.2857	15.3818	169.2
40.3333	15.4	169.4
40.381	15.4182	169.6
40.4286	15.4364	169.8
40.4762	15.4545	170
